,Direction,lag_1,lag_2,lag_3,lag_4,lag_5
5,1.0,0.006643364588528655,-0.0008372306271001717,0.0030691782604861384,-0.004736185847835972,-0.003983904710179953
6,0.0,0.01770785254876528,0.006643364588528655,-0.0008372306271001717,0.0030691782604861384,-0.004736185847835972
7,1.0,-0.001548239053485334,0.01770785254876528,0.006643364588528655,-0.0008372306271001717,0.0030691782604861384
8,1.0,0.014432877449231274,-0.001548239053485334,0.01770785254876528,0.006643364588528655,-0.0008372306271001717
9,1.0,0.0021340950370500877,0.014432877449231274,-0.001548239053485334,0.01770785254876528,0.006643364588528655
10,0.0,0.003146431635468794,0.0021340950370500877,0.014432877449231274,-0.001548239053485334,0.01770785254876528
11,1.0,-0.001510849747651033,0.003146431635468794,0.0021340950370500877,0.014432877449231274,-0.001548239053485334
12,1.0,0.0029305249198994243,-0.001510849747651033,0.003146431635468794,0.0021340950370500877,0.014432877449231274
13,1.0,0.02100800272075798,0.0029305249198994243,-0.001510849747651033,0.003146431635468794,0.0021340950370500877
14,1.0,0.0015806504235227337,0.02100800272075798,0.0029305249198994243,-0.001510849747651033,0.003146431635468794
15,0.0,0.009776704548087212,0.0015806504235227337,0.02100800272075798,0.0029305249198994243,-0.001510849747651033
16,1.0,-0.0023488865969922834,0.009776704548087212,0.0015806504235227337,0.02100800272075798,0.0029305249198994243
17,1.0,0.003818912099887939,-0.0023488865969922834,0.009776704548087212,0.0015806504235227337,0.02100800272075798
18,1.0,0.0010711697955378963,0.003818912099887939,-0.0023488865969922834,0.009776704548087212,0.0015806504235227337
19,1.0,0.008781334210148817,0.0010711697955378963,0.003818912099887939,-0.0023488865969922834,0.009776704548087212
20,1.0,0.0021304597198741337,0.008781334210148817,0.0010711697955378963,0.003818912099887939,-0.0023488865969922834
21,0.0,0.0009581001558298663,0.0021304597198741337,0.008781334210148817,0.0010711697955378963,0.003818912099887939
22,1.0,-0.005004458350723606,0.0009581001558298663,0.0021304597198741337,0.008781334210148817,0.0010711697955378963
23,1.0,0.009005667035111964,-0.005004458350723606,0.0009581001558298663,0.0021304597198741337,0.008781334210148817
24,0.0,0.002496912941684526,0.009005667035111964,-0.005004458350723606,0.0009581001558298663,0.0021304597198741337
25,1.0,-0.00019016312038877548,0.002496912941684526,0.009005667035111964,-0.005004458350723606,0.0009581001558298663
26,1.0,0.007464435927940549,-0.00019016312038877548,0.002496912941684526,0.009005667035111964,-0.005004458350723606
27,0.0,0.0020051252269706055,0.007464435927940549,-0.00019016312038877548,0.002496912941684526,0.009005667035111964
28,1.0,-0.008453246266739267,0.0020051252269706055,0.007464435927940549,-0.00019016312038877548,0.002496912941684526
29,1.0,0.0006787637750662601,-0.008453246266739267,0.0020051252269706055,0.007464435927940549,-0.00019016312038877548
30,0.0,0.014434370721971623,0.0006787637750662601,-0.008453246266739267,0.0020051252269706055,0.007464435927940549
31,0.0,-0.0035839905837280472,0.014434370721971623,0.0006787637750662601,-0.008453246266739267,0.0020051252269706055
32,0.0,-0.004062165759159964,-0.0035839905837280472,0.014434370721971623,0.0006787637750662601,-0.008453246266739267
33,0.0,-0.001428412572349158,-0.004062165759159964,-0.0035839905837280472,0.014434370721971623,0.0006787637750662601
34,0.0,-9.895187538611072e-05,-0.001428412572349158,-0.004062165759159964,-0.0035839905837280472,0.014434370721971623
35,0.0,-0.005704485210628496,-9.895187538611072e-05,-0.001428412572349158,-0.004062165759159964,-0.0035839905837280472
36,0.0,-0.004787105421932503,-0.005704485210628496,-9.895187538611072e-05,-0.001428412572349158,-0.004062165759159964
37,1.0,-0.0018276639328648203,-0.004787105421932503,-0.005704485210628496,-9.895187538611072e-05,-0.001428412572349158
38,0.0,0.009637767730307445,-0.0018276639328648203,-0.004787105421932503,-0.005704485210628496,-9.895187538611072e-05
39,1.0,-0.001524750574590339,0.009637767730307445,-0.0018276639328648203,-0.004787105421932503,-0.005704485210628496
40,1.0,0.0025753182471353053,-0.001524750574590339,0.009637767730307445,-0.0018276639328648203,-0.004787105421932503
41,0.0,0.010581333934204684,0.0025753182471353053,-0.001524750574590339,0.009637767730307445,-0.0018276639328648203
42,1.0,-0.005752516015772868,0.010581333934204684,0.0025753182471353053,-0.001524750574590339,0.009637767730307445
43,0.0,0.0003766825907205451,-0.005752516015772868,0.010581333934204684,0.0025753182471353053,-0.001524750574590339
44,0.0,-0.007864007950696528,0.0003766825907205451,-0.005752516015772868,0.010581333934204684,0.0025753182471353053
45,0.0,-0.005449827664889106,-0.007864007950696528,0.0003766825907205451,-0.005752516015772868,0.010581333934204684
46,0.0,-0.0024082150454109996,-0.005449827664889106,-0.007864007950696528,0.0003766825907205451,-0.005752516015772868
47,1.0,-0.0022136477717018543,-0.0024082150454109996,-0.005449827664889106,-0.007864007950696528,0.0003766825907205451
48,0.0,0.004254456818671981,-0.0022136477717018543,-0.0024082150454109996,-0.005449827664889106,-0.007864007950696528
49,0.0,-0.007600055524141669,0.004254456818671981,-0.0022136477717018543,-0.0024082150454109996,-0.005449827664889106
50,0.0,-0.0012549993988119068,-0.007600055524141669,0.004254456818671981,-0.0022136477717018543,-0.0024082150454109996
51,1.0,-0.006310425895562299,-0.0012549993988119068,-0.007600055524141669,0.004254456818671981,-0.0022136477717018543
52,1.0,0.0004892364614021982,-0.006310425895562299,-0.0012549993988119068,-0.007600055524141669,0.004254456818671981
53,0.0,0.013663437495219366,0.0004892364614021982,-0.006310425895562299,-0.0012549993988119068,-0.007600055524141669
